ID Giao Dịch,Ngày,Chi Nhánh,Khu Vực,Nhân Viên,Khách Hàng,Tuổi,Giới Tính,Địa Chỉ,Hãng Xe,Tên Xe,Loại Xe,Màu Sắc,Giá Niêm Yết,Nguồn Khách,Hình Thức,Dịch Vụ,Khuyến Mãi,Tổng Cộng
KHB-XM-000043,18/09/2025,CN Bình Tân,TP Hồ Chí Minh,NV_158,Trần Hạnh,47,Nam,TP Hồ Chí Minh,Honda,Honda Wave Alpha,Xe số,Trắng,18500000,Website hệ thống,Thanh toán chuẩn,"Phủ nano, Đăng ký xe, Dán keo, Bảo hiểm dân sự",0,20300000
KHB-XM-000044,16/02/2025,CN Quận 1,TP Hồ Chí Minh,NV_171,Lê Nam,63,Nam,TP Hồ Chí Minh,Honda,Honda Lead 125,Tay ga,Xanh dương,40000000,YouTube,Thanh toán chuẩn,"Bảo hiểm dân sự, Phủ nano",0,40900000
KHB-XM-000045,04/08/2025,CN Cầu Giấy,Hà Nội,NV_138,Hoàng Khánh,59,Nữ,Hà Nội,Yamaha,Yamaha Grande,Tay ga,Vàng,46500000,YouTube,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ, Đăng ký xe, Phủ nano",0,48300000
KHB-XM-000046,17/12/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_115,Phan Linh,39,Nữ,TP Hồ Chí Minh,Honda,Honda Air Blade 125,Tay ga,Trắng,42500000,Facebook,Trả góp,"Bảo hiểm dân sự, Phủ nano, Đăng ký xe, Dán keo",0,44300000
KHB-XM-000047,03/11/2025,CN Quận 5,TP Hồ Chí Minh,NV_101,Phạm An,55,Nữ,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Vàng,49500000,YouTube,Thanh toán chuẩn,Khung bảo vệ,0,49950000
KHB-XM-000048,23/12/2025,CN Long Biên,Hà Nội,NV_115,Nguyễn Minh,53,Nam,Hà Nội,Honda,Honda SH 150i ABS,Tay ga,Đen,110000000,Website hệ thống,Thanh toán chuẩn,"Đăng ký xe, Phủ nano, Bảo hiểm dân sự, Khung bảo vệ",0,111800000
KHB-XM-000049,27/02/2025,CN Hoàn Kiếm,Hà Nội,NV_130,Phạm Hạnh,57,Nam,Hà Nội,Yamaha,Yamaha NVX 155,Tay ga,Xanh dương,55000000,Người quen giới thiệu,Trả góp,"Dán keo, Phủ nano, Bảo hiểm dân sự",0,56350000
KHB-XM-000050,12/01/2025,CN Quận 1,TP Hồ Chí Minh,NV_113,Hoàng Minh,21,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Đỏ,49500000,Tự tìm kiếm,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ",0,50400000
KHB-XM-000051,19/02/2025,CN Tân Bình,TP Hồ Chí Minh,NV_176,Phạm Minh,59,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Satria F150,Xe côn,Vàng,53500000,Tự tìm kiếm,Trả góp,"Phủ nano, Đăng ký xe",0,54400000
KHB-XM-000052,25/01/2025,CN Quận 5,TP Hồ Chí Minh,NV_197,Trần Khánh,36,Nữ,TP Hồ Chí Minh,Honda,Honda Wave RSX FI,Xe số,Đỏ,22500000,YouTube,Thanh toán chuẩn,"Khung bảo vệ, Dán keo",500000,22900000
KHB-XM-000053,05/11/2025,CN Đống Đa,Hà Nội,NV_169,Nguyễn Nam,35,Nam,Hà Nội,Yamaha,Yamaha Janus,Tay ga,Xám xi măng,29500000,YouTube,Trả góp,"Khung bảo vệ, Bảo hiểm dân sự, Dán keo, Đăng ký xe",0,31300000
KHB-XM-000054,21/09/2025,CN Quận 5,TP Hồ Chí Minh,NV_117,Phạm Dũng,20,Nữ,TP Hồ Chí Minh,Honda,Honda Air Blade 125,Tay ga,Trắng,42500000,Facebook,Thanh toán chuẩn,"Khung bảo vệ, Bảo hiểm dân sự, Dán keo",0,43850000
KHB-XM-000055,20/07/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_148,Phan Khánh,39,Nam,TP Hồ Chí Minh,Honda,Honda Winner X,Xe côn,Xanh dương,46000000,Tự tìm kiếm,Trả góp,"Phủ nano, Bảo hiểm dân sự, Khung bảo vệ, Dán keo",0,47800000
KHB-XM-000056,27/03/2025,CN Bình Tân,TP Hồ Chí Minh,NV_135,Nguyễn Hùng,32,Nữ,TP Hồ Chí Minh,Honda,Honda Air Blade 125,Tay ga,Trắng,42500000,YouTube,Thanh toán chuẩn,"Đăng ký xe, Dán keo, Bảo hiểm dân sự, Phủ nano",0,44300000
KHB-XM-000057,31/10/2025,CN Thanh Khê,Đà Nẵng,NV_105,Huỳnh Quân,30,Nam,Đà Nẵng,Honda,Honda Wave Alpha,Xe số,Xanh dương,18500000,TikTok,Thanh toán chuẩn,"Dán keo, Phủ nano, Đăng ký xe",0,19850000
KHB-XM-000058,08/01/2025,CN Quận 10,TP Hồ Chí Minh,NV_105,Nguyễn Minh,62,Nữ,TP Hồ Chí Minh,Honda,Honda Wave RSX FI,Xe số,Trắng,22500000,Tự tìm kiếm,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự",500000,22900000
KHB-XM-000059,26/01/2025,CN Hải Châu,Đà Nẵng,NV_199,Phan Khánh,20,Nữ,Đà Nẵng,Yamaha,Yamaha Jupiter Finn,Xe số,Trắng,28000000,YouTube,Trả góp,"Khung bảo vệ, Đăng ký xe",500000,28400000
KHB-XM-000060,16/09/2025,CN Hai Bà Trưng,Hà Nội,NV_126,Hoàng Hùng,24,Nam,Hà Nội,Yamaha,Yamaha Exciter 155,Xe côn,Vàng,48500000,Người quen giới thiệu,Thanh toán chuẩn,"Khung bảo vệ, Đăng ký xe, Phủ nano",0,49850000
KHB-XM-000061,14/08/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_119,Hoàng Nam,29,Nam,TP Hồ Chí Minh,Yamaha,Yamaha NVX 155,Tay ga,Xanh dương,55000000,TikTok,Thanh toán chuẩn,"Khung bảo vệ, Dán keo",0,55900000
KHB-XM-000062,01/05/2025,CN Hoàn Kiếm,Hà Nội,NV_107,Trần An,41,Nữ,Hà Nội,Suzuki,Suzuki Satria F150,Xe côn,Đỏ,53500000,Website hệ thống,Thanh toán chuẩn,Dán keo,0,53950000
KHB-XM-000063,26/11/2025,CN Bình Tân,TP Hồ Chí Minh,NV_166,Huỳnh Giang,36,Nam,TP Hồ Chí Minh,Honda,Honda Blade 110,Xe số,Đen,19500000,TikTok,Thanh toán chuẩn,"Dán keo, Đăng ký xe",500000,19900000
KHB-XM-000064,16/02/2025,CN Quận 10,TP Hồ Chí Minh,NV_108,Vũ Giang,38,Nữ,TP Hồ Chí Minh,Honda,Honda Vision,Tay ga,Xanh dương,33000000,Facebook,Trả góp,"Bảo hiểm dân sự, Dán keo",0,33900000
KHB-XM-000065,23/05/2025,CN Hoàn Kiếm,Hà Nội,NV_115,Phan Bình,42,Nữ,Hà Nội,Yamaha,Yamaha Janus,Tay ga,Xanh dương,29500000,TikTok,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự, Khung bảo vệ",0,30850000
KHB-XM-000066,09/04/2025,CN Cầu Giấy,Hà Nội,NV_161,Lê Quân,33,Nam,Hà Nội,Honda,Honda Air Blade 125,Tay ga,Đen,42500000,YouTube,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ",0,43400000
KHB-XM-000067,22/05/2025,CN Liên Chiểu,Đà Nẵng,NV_142,Hoàng Hùng,52,Nam,Đà Nẵng,Yamaha,Yamaha Jupiter Finn,Xe số,Đen,28000000,Tự tìm kiếm,Thanh toán chuẩn,Dán keo,0,28450000
KHB-XM-000068,12/10/2025,CN Quận 5,TP Hồ Chí Minh,NV_120,Hoàng Chi,63,Nam,TP Hồ Chí Minh,Honda,Honda SH 150i ABS,Tay ga,Trắng,110000000,YouTube,Trả góp,Đăng ký xe,0,110450000
KHB-XM-000069,04/03/2025,CN Quận 5,TP Hồ Chí Minh,NV_188,Huỳnh Quân,39,Nữ,TP Hồ Chí Minh,Honda,Honda Lead 125,Tay ga,Vàng,40000000,YouTube,Thanh toán chuẩn,Dán keo,0,40450000
KHB-XM-000070,14/11/2025,CN Quận 5,TP Hồ Chí Minh,NV_123,Phan An,55,Nam,TP Hồ Chí Minh,Honda,Honda SH 150i ABS,Tay ga,Vàng,110000000,YouTube,Trả góp,"Bảo hiểm dân sự, Dán keo, Phủ nano",0,111350000
KHB-XM-000071,27/07/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_140,Phan Nam,37,Nam,TP Hồ Chí Minh,Honda,Honda Winner X,Xe côn,Xanh dương,46000000,Website hệ thống,Thanh toán chuẩn,Bảo hiểm dân sự,0,46450000
KHB-XM-000072,30/03/2025,CN Đống Đa,Hà Nội,NV_195,Huỳnh Khánh,60,Nam,Hà Nội,Yamaha,Yamaha Janus,Tay ga,Vàng,29500000,TikTok,Trả góp,Phủ nano,0,29950000
KHB-XM-000073,20/04/2025,CN Tân Bình,TP Hồ Chí Minh,NV_119,Lê Bình,25,Nữ,TP Hồ Chí Minh,Suzuki,Suzuki Satria F150,Xe côn,Trắng,53500000,Người quen giới thiệu,Thanh toán chuẩn,"Dán keo, Khung bảo vệ, Bảo hiểm dân sự",0,54850000
KHB-XM-000074,12/08/2025,CN Đống Đa,Hà Nội,NV_180,Huỳnh Chi,53,Nam,Hà Nội,Honda,Honda Air Blade 125,Tay ga,Đen,42500000,TikTok,Trả góp,"Phủ nano, Khung bảo vệ, Đăng ký xe, Bảo hiểm dân sự",0,44300000
KHB-XM-000075,10/03/2025,CN Hoàn Kiếm,Hà Nội,NV_168,Phan An,61,Nữ,Hà Nội,Yamaha,Yamaha Janus,Tay ga,Vàng,29500000,Tự tìm kiếm,Thanh toán chuẩn,"Dán keo, Khung bảo vệ, Bảo hiểm dân sự",0,30850000
KHB-XM-000076,03/02/2025,CN Quận 1,TP Hồ Chí Minh,NV_176,Nguyễn Hùng,49,Nam,TP Hồ Chí Minh,Honda,Honda Future 125 FI,Xe số,Đen,31000000,Tự tìm kiếm,Trả góp,"Bảo hiểm dân sự, Phủ nano",0,31900000
KHB-XM-000077,10/08/2025,CN Đống Đa,Hà Nội,NV_120,Lê Nam,62,Nữ,Hà Nội,Yamaha,Yamaha Janus,Tay ga,Đen,29500000,Người quen giới thiệu,Trả góp,"Khung bảo vệ, Phủ nano",0,30400000
KHB-XM-000078,03/09/2025,CN Quận 5,TP Hồ Chí Minh,NV_124,Vũ Chi,37,Nam,TP Hồ Chí Minh,Honda,Honda Wave RSX FI,Xe số,Đen,22500000,TikTok,Trả góp,"Phủ nano, Khung bảo vệ, Đăng ký xe, Bảo hiểm dân sự",500000,23800000
KHB-XM-000079,25/11/2025,CN Tân Bình,TP Hồ Chí Minh,NV_153,Vũ Bình,19,Nữ,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Xanh dương,49500000,TikTok,Trả góp,"Phủ nano, Bảo hiểm dân sự",0,50400000
KHB-XM-000080,03/07/2025,CN Quận 1,TP Hồ Chí Minh,NV_122,Hoàng Giang,44,Nam,TP Hồ Chí Minh,Honda,Honda Air Blade 125,Tay ga,Đen,42500000,YouTube,Thanh toán chuẩn,"Dán keo, Phủ nano, Bảo hiểm dân sự",0,43850000
KHB-XM-000081,22/02/2025,CN Hoàn Kiếm,Hà Nội,NV_119,Huỳnh Giang,60,Nữ,Hà Nội,Suzuki,Suzuki Burgman Street,Tay ga,Trắng,49500000,Người quen giới thiệu,Thanh toán chuẩn,Dán keo,0,49950000
KHB-XM-000082,25/12/2025,CN Đống Đa,Hà Nội,NV_175,Trần Hùng,29,Nam,Hà Nội,Yamaha,Yamaha Jupiter Finn,Xe số,Xanh dương,28000000,Facebook,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ",500000,28400000
KHB-XM-000083,24/08/2025,CN Hoàn Kiếm,Hà Nội,NV_103,Trần Minh,50,Nữ,Hà Nội,Honda,Honda Future 125 FI,Xe số,Xám xi măng,31000000,Tự tìm kiếm,Thanh toán chuẩn,"Dán keo, Phủ nano, Đăng ký xe",500000,31850000
KHB-XM-000084,04/07/2025,CN Quận 5,TP Hồ Chí Minh,NV_121,Nguyễn Dũng,65,Nam,TP Hồ Chí Minh,Yamaha,Yamaha Sirius FI,Xe số,Xanh dương,21500000,Facebook,Thanh toán chuẩn,Bảo hiểm dân sự,0,21950000
KHB-XM-000085,26/10/2025,CN Long Biên,Hà Nội,NV_195,Vũ Dũng,24,Nam,Hà Nội,Yamaha,Yamaha Sirius,Xe số,Trắng,19000000,Website hệ thống,Thanh toán chuẩn,"Phủ nano, Đăng ký xe",0,19900000
KHB-XM-000086,18/12/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_171,Phạm Bình,46,Nam,TP Hồ Chí Minh,Honda,Honda Future 125 FI,Xe số,Đỏ,31000000,TikTok,Trả góp,"Đăng ký xe, Dán keo, Khung bảo vệ",500000,31850000
KHB-XM-000087,18/09/2025,CN Đống Đa,Hà Nội,NV_113,Trần Linh,60,Nữ,Hà Nội,Yamaha,Yamaha Sirius FI,Xe số,Trắng,21500000,YouTube,Trả góp,"Khung bảo vệ, Dán keo, Đăng ký xe, Bảo hiểm dân sự",500000,22800000
KHB-XM-000088,27/01/2025,CN Hoàn Kiếm,Hà Nội,NV_155,Huỳnh Linh,30,Nam,Hà Nội,Yamaha,Yamaha NVX 155,Tay ga,Vàng,55000000,Người quen giới thiệu,Trả góp,"Bảo hiểm dân sự, Đăng ký xe",0,55900000
KHB-XM-000089,11/07/2025,CN Long Biên,Hà Nội,NV_163,Phạm Khánh,20,Nam,Hà Nội,Yamaha,Yamaha Sirius,Xe số,Đỏ,19000000,TikTok,Trả góp,Khung bảo vệ,500000,18950000
KHB-XM-000090,20/07/2025,CN Thanh Khê,Đà Nẵng,NV_192,Vũ Minh,65,Nữ,Đà Nẵng,Yamaha,Yamaha Sirius,Xe số,Đen,19000000,Facebook,Thanh toán chuẩn,"Phủ nano, Đăng ký xe, Khung bảo vệ",500000,19850000
KHB-XM-000091,21/11/2025,CN Hai Bà Trưng,Hà Nội,NV_147,Phạm Quân,59,Nữ,Hà Nội,Yamaha,Yamaha Jupiter Finn,Xe số,Đỏ,28000000,Người quen giới thiệu,Trả góp,"Khung bảo vệ, Phủ nano",500000,28400000
KHB-XM-000092,29/01/2025,CN Hai Bà Trưng,Hà Nội,NV_162,Trần Linh,38,Nam,Hà Nội,Honda,Honda Future 125 FI,Xe số,Xám xi măng,31000000,Facebook,Thanh toán chuẩn,Dán keo,0,31450000
KHB-XM-000093,14/03/2025,CN Bình Tân,TP Hồ Chí Minh,NV_184,Phạm Chi,45,Nữ,TP Hồ Chí Minh,Yamaha,Yamaha Janus,Tay ga,Trắng,29500000,Facebook,Thanh toán chuẩn,"Đăng ký xe, Phủ nano",0,30400000
KHB-XM-000094,07/01/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_105,Huỳnh Nam,38,Nam,TP Hồ Chí Minh,Honda,Honda Wave Alpha,Xe số,Xám xi măng,18500000,TikTok,Thanh toán chuẩn,"Phủ nano, Đăng ký xe, Khung bảo vệ",0,19850000
